Feria;Fecha;Especie;Cabezas;Peso Promedio;1 er;2 do;3 er;4 to;5 to;Promedio 5PP;Promedio General
Osorno;LUNES 06 DE ABRIL DE 2020;Novillo Gordo;130;523,12;1300;1298;1282;1275;1272;1285,57;1119,89
Osorno;LUNES 06 DE ABRIL DE 2020;Novillo Engorda;0;0;0;0;0;0;0;0;0
Osorno;LUNES 06 DE ABRIL DE 2020;Novillo Gordo ExportaciÃ³n;15;544,93;1248;1200;810;700;0;1067,5;1067,5
Osorno;LUNES 06 DE ABRIL DE 2020;Vacas Gordas;49;487,49;850;825;820;800;800;818,74;633,34
Osorno;LUNES 06 DE ABRIL DE 2020;Vaquillas Gordas;8;415;1050;850;850;0;0;875,3;875,3
Osorno;LUNES 06 DE ABRIL DE 2020;Vacas Engorda;21;422,67;680;350;320;310;240;371,26;357,68
Osorno;LUNES 06 DE ABRIL DE 2020;Vaca Carnaza;89;10,85;905;900;860;840;790;862,06;702,69
Osorno;LUNES 06 DE ABRIL DE 2020;Vaquillas Engorda;0;0;0;0;0;0;0;0;0
Osorno;LUNES 06 DE ABRIL DE 2020;Terneros;0;0;0;0;0;0;0;0;0
Osorno;LUNES 06 DE ABRIL DE 2020;Bueyes;5;674,2;850;600;500;400;400;534;534
Osorno;LUNES 06 DE ABRIL DE 2020;Toros;0;0;0;0;0;0;0;0;0
Osorno;LUNES 06 DE ABRIL DE 2020;Cerdos Industriales;0;0;0;0;0;0;0;0;0
Osorno;LUNES 06 DE ABRIL DE 2020;Cerdos Maltones;0;0;0;0;0;0;0;0;0
Osorno;LUNES 06 DE ABRIL DE 2020;Caballares;0;0;0;0;0;0;0;0;0
Osorno;LUNES 06 DE ABRIL DE 2020;Terneras;0;0;0;0;0;0;0;0;0
Osorno;LUNES 06 DE ABRIL DE 2020;Corderos;0;0;0;0;0;0;0;0;0
Osorno;LUNES 06 DE ABRIL DE 2020;Lechones;0;0;0;0;0;0;0;0;0
Osorno;LUNES 06 DE ABRIL DE 2020;Ovejas;0;0;0;0;0;0;0;0;0
Paillaco;MARTES 07 DE ABRIL DE 2020;Novillo Gordo;2;435;850;0;0;0;0;850;850
